Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,C,
C18,0603,1,104,
C22,0603,1,47uF,
"D5, D6",0805,2,LED,
J1,BarrelJack_Kycon_KLDX-0202-xC_Horizontal,1,Barrel_Jack_MountingPin,
"J2, J3",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
"Q1, Q2, Q3",TO-220-3_Vertical,3,IRLZ44N,
R1,0603,1,1k,
R2,0603,1,2.2k,
"R3, R4",0603,2,10K,
"R5, R6",0603,2,220R,
R7,0603,1,220,
"SW3, SW4",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
